"frequency";"r ngspice/ac.s_1_1_db";"i ngspice/ac.s_1_1_db"
1.9709e+09;-12.3898;0
1.9809e+09;-12.5745;0
1.9909e+09;-12.7594;0
2.0009e+09;-12.9529;0
2.0109e+09;-13.1484;0
2.0209e+09;-13.3442;0
2.0309e+09;-13.5476;0
2.0409e+09;-13.7571;0
2.0509e+09;-13.9691;0
2.0609e+09;-14.1837;0
2.0709e+09;-14.4051;0
2.0809e+09;-14.6315;0
2.0909e+09;-14.861;0
2.1009e+09;-15.0982;0
2.11089e+09;-15.3412;0
2.12089e+09;-15.5879;0
2.13089e+09;-15.8435;0
2.14089e+09;-16.1034;0
2.15089e+09;-16.373;0
2.16089e+09;-16.6504;0
2.17089e+09;-16.9361;0
2.18089e+09;-17.2276;0
2.19089e+09;-17.5315;0
2.20089e+09;-17.8454;0
2.21089e+09;-18.1671;0
2.22089e+09;-18.5071;0
2.23089e+09;-18.8532;0
2.24089e+09;-19.2168;0
2.25089e+09;-19.5957;0
2.26089e+09;-19.9875;0
2.27089e+09;-20.4018;0
2.28089e+09;-20.8368;0
2.29089e+09;-21.2948;0
2.30089e+09;-21.7692;0
2.31088e+09;-22.2862;0
2.32088e+09;-22.8307;0
2.33088e+09;-23.4006;0
2.34088e+09;-24.026;0
2.35088e+09;-24.6837;0
2.36088e+09;-25.3927;0
2.37088e+09;-26.1466;0
2.38088e+09;-26.9391;0
2.39088e+09;-27.7521;0
2.40088e+09;-28.5452;0
2.41088e+09;-29.2655;0
2.42088e+09;-29.8191;0
2.43088e+09;-30.112;0
2.44088e+09;-30.0959;0
2.45088e+09;-29.7804;0
2.46088e+09;-29.2608;0
2.47088e+09;-28.6178;0
2.48088e+09;-27.9494;0
2.49088e+09;-27.2763;0
2.50088e+09;-26.6525;0
2.51087e+09;-26.0851;0
2.52087e+09;-25.5642;0
2.53087e+09;-25.0705;0
2.54087e+09;-24.6279;0
2.55087e+09;-24.2082;0
2.56087e+09;-23.813;0
2.57087e+09;-23.4436;0
2.58087e+09;-23.0842;0
2.59087e+09;-22.7383;0
2.60087e+09;-22.4037;0
2.61087e+09;-22.0891;0
2.62087e+09;-21.768;0
2.63087e+09;-21.4601;0
2.64087e+09;-21.1686;0
2.65087e+09;-20.8709;0
2.66087e+09;-20.5887;0
2.67087e+09;-20.3049;0
2.68087e+09;-20.0358;0
2.69087e+09;-19.7691;0
2.70087e+09;-19.5088;0
2.71086e+09;-19.2617;0
2.72086e+09;-19.0134;0
2.73086e+09;-18.7678;0
2.74086e+09;-18.5346;0
2.75086e+09;-18.3038;0
2.76086e+09;-18.0785;0
2.77086e+09;-17.8586;0
2.78086e+09;-17.644;0
2.79086e+09;-17.4344;0
2.80086e+09;-17.2353;0
2.81086e+09;-17.0354;0
2.82086e+09;-16.8401;0
2.83086e+09;-16.6494;0
2.84086e+09;-16.463;0
2.85086e+09;-16.2808;0
2.86086e+09;-16.1028;0
2.87086e+09;-15.9334;0
2.88086e+09;-15.7677;0
2.89086e+09;-15.5966;0
2.90086e+09;-15.4337;0
2.91085e+09;-15.2743;0
2.92085e+09;-15.1182;0
2.93085e+09;-14.9655;0
2.94085e+09;-14.82;0
2.95085e+09;-14.6734;0
2.96085e+09;-14.5299;0
2.97085e+09;-14.3892;0
2.98085e+09;-14.2514;0
2.99085e+09;-14.1163;0
3.00085e+09;-13.9839;0
3.01085e+09;-13.8575;0
3.02085e+09;-13.73;0
3.03085e+09;-13.605;0
3.04085e+09;-13.4823;0
3.05085e+09;-13.3619;0
3.06085e+09;-13.2438;0
3.07085e+09;-13.1277;0
3.08085e+09;-13.017;0
3.09085e+09;-12.905;0
3.10085e+09;-12.7951;0
3.11084e+09;-12.6871;0
3.12084e+09;-12.5809;0
3.13084e+09;-12.4766;0
3.14084e+09;-12.3769;0
3.15084e+09;-12.2761;0
3.16084e+09;-12.1769;0
3.17084e+09;-12.0794;0
3.18084e+09;-11.9835;0
3.19084e+09;-11.8892;0
3.20084e+09;-11.7964;0
3.21084e+09;-11.7076;0
3.22084e+09;-11.6177;0
3.23084e+09;-11.5292;0
3.24084e+09;-11.4421;0
3.25084e+09;-11.3563;0
3.26084e+09;-11.2719;0
3.27084e+09;-11.1887;0
3.28084e+09;-11.1092;0
3.29084e+09;-11.0285;0
