"frequency";"r ngspice/ac.s_2_1_db";"i ngspice/ac.s_2_1_db"
1e+06;-32.8166;0
1.09995e+07;-32.8034;0
2.0999e+07;-32.7686;0
3.09985e+07;-32.7127;0
4.0998e+07;-32.6364;0
5.09975e+07;-32.5407;0
6.0997e+07;-32.427;0
7.09965e+07;-32.2967;0
8.0996e+07;-32.1512;0
9.09955e+07;-31.9922;0
1.00995e+08;-31.8212;0
1.10995e+08;-31.6397;0
1.20994e+08;-31.4493;0
1.30994e+08;-31.2514;0
1.40993e+08;-31.0472;0
1.50993e+08;-30.838;0
1.60992e+08;-30.6248;0
1.70992e+08;-30.4087;0
1.80991e+08;-30.1905;0
1.90991e+08;-29.9709;0
2.0099e+08;-29.7506;0
2.1099e+08;-29.5302;0
2.20989e+08;-29.3103;0
2.30989e+08;-29.0911;0
2.40988e+08;-28.8731;0
2.50988e+08;-28.6566;0
2.60987e+08;-28.4419;0
2.70987e+08;-28.229;0
2.80986e+08;-28.0183;0
2.90986e+08;-27.8098;0
3.00985e+08;-27.6036;0
3.10985e+08;-27.3999;0
3.20984e+08;-27.1986;0
3.30984e+08;-26.9998;0
3.40983e+08;-26.8036;0
3.50983e+08;-26.6099;0
3.60982e+08;-26.4189;0
3.70982e+08;-26.2303;0
3.80981e+08;-26.0443;0
3.90981e+08;-25.8607;0
4.0098e+08;-25.6797;0
4.1098e+08;-25.5011;0
4.20979e+08;-25.3249;0
4.30979e+08;-25.151;0
4.40978e+08;-24.9795;0
4.50978e+08;-24.8102;0
4.60977e+08;-24.6432;0
4.70977e+08;-24.4784;0
4.80976e+08;-24.3156;0
4.90976e+08;-24.1551;0
5.00975e+08;-23.9965;0
5.10975e+08;-23.8399;0
5.20974e+08;-23.6852;0
5.30974e+08;-23.5325;0
5.40973e+08;-23.3816;0
5.50973e+08;-23.2326;0
5.60972e+08;-23.0853;0
5.70972e+08;-22.9397;0
5.80971e+08;-22.7957;0
5.90971e+08;-22.6535;0
6.0097e+08;-22.5128;0
6.1097e+08;-22.3736;0
6.20969e+08;-22.236;0
6.30969e+08;-22.0999;0
6.40968e+08;-21.9651;0
6.50968e+08;-21.8318;0
6.60967e+08;-21.6998;0
6.70967e+08;-21.5692;0
6.80966e+08;-21.4399;0
6.90966e+08;-21.3117;0
7.00965e+08;-21.1849;0
7.10965e+08;-21.0591;0
7.20964e+08;-20.9346;0
7.30964e+08;-20.8113;0
7.40963e+08;-20.6889;0
7.50963e+08;-20.5677;0
7.60962e+08;-20.4475;0
7.70962e+08;-20.3283;0
7.80961e+08;-20.2101;0
7.90961e+08;-20.0928;0
8.0096e+08;-19.9766;0
8.1096e+08;-19.8611;0
8.20959e+08;-19.7466;0
8.30959e+08;-19.6328;0
8.40958e+08;-19.52;0
8.50958e+08;-19.408;0
8.60957e+08;-19.2966;0
8.70957e+08;-19.1862;0
8.80956e+08;-19.0763;0
8.90956e+08;-18.9673;0
9.00955e+08;-18.8589;0
9.10955e+08;-18.7512;0
9.20954e+08;-18.6442;0
9.30954e+08;-18.5377;0
9.40953e+08;-18.432;0
9.50953e+08;-18.3266;0
9.60952e+08;-18.222;0
9.70952e+08;-18.1179;0
9.80951e+08;-18.0143;0
9.90951e+08;-17.9113;0
1.00095e+09;-17.8086;0
1.01095e+09;-17.7066;0
1.02095e+09;-17.6048;0
1.03095e+09;-17.5037;0
1.04095e+09;-17.403;0
1.05095e+09;-17.3025;0
1.06095e+09;-17.2025;0
1.07095e+09;-17.1028;0
1.08095e+09;-17.0036;0
1.09095e+09;-16.9045;0
1.10095e+09;-16.8061;0
1.11094e+09;-16.7076;0
1.12094e+09;-16.6095;0
1.13094e+09;-16.5118;0
1.14094e+09;-16.4141;0
1.15094e+09;-16.3169;0
1.16094e+09;-16.2199;0
1.17094e+09;-16.1228;0
1.18094e+09;-16.0262;0
1.19094e+09;-15.9295;0
1.20094e+09;-15.8331;0
1.21094e+09;-15.7368;0
1.22094e+09;-15.6406;0
1.23094e+09;-15.5446;0
1.24094e+09;-15.4485;0
1.25094e+09;-15.3526;0
1.26094e+09;-15.2566;0
1.27094e+09;-15.1609;0
1.28094e+09;-15.0649;0
1.29094e+09;-14.9691;0
1.30094e+09;-14.8732;0
1.31093e+09;-14.7772;0
1.32093e+09;-14.6813;0
1.33093e+09;-14.5851;0
1.34093e+09;-14.4891;0
1.35093e+09;-14.3927;0
1.36093e+09;-14.2963;0
1.37093e+09;-14.1998;0
1.38093e+09;-14.103;0
1.39093e+09;-14.006;0
1.40093e+09;-13.909;0
1.41093e+09;-13.8116;0
1.42093e+09;-13.7139;0
1.43093e+09;-13.6162;0
1.44093e+09;-13.5179;0
1.45093e+09;-13.4194;0
1.46093e+09;-13.3205;0
1.47093e+09;-13.2215;0
1.48093e+09;-13.1219;0
1.49093e+09;-13.0219;0
1.50093e+09;-12.9217;0
1.51092e+09;-12.8208;0
1.52092e+09;-12.7195;0
1.53092e+09;-12.6177;0
1.54092e+09;-12.5155;0
1.55092e+09;-12.4126;0
1.56092e+09;-12.3092;0
1.57092e+09;-12.2053;0
1.58092e+09;-12.1007;0
