"frequency";"r ngspice/ac.s_2_2_db";"i ngspice/ac.s_2_2_db"
10000;-1.74717e-11;0
1.001e+07;-1.69537e-05;0
2.001e+07;-6.77344e-05;0
3.001e+07;-0.000152304;0
4.001e+07;-0.000270598;0
5.001e+07;-0.000422527;0
6.001e+07;-0.000607979;0
7.001e+07;-0.000826813;0
8.001e+07;-0.00107887;0
9.001e+07;-0.00136396;0
1.0001e+08;-0.00168187;0
1.1001e+08;-0.00203237;0
1.2001e+08;-0.00241522;0
1.3001e+08;-0.00283013;0
1.4001e+08;-0.00327681;0
1.5001e+08;-0.00375495;0
1.6001e+08;-0.00426421;0
1.7001e+08;-0.00480426;0
1.8001e+08;-0.00537472;0
1.9001e+08;-0.00597523;0
2.0001e+08;-0.00660538;0
2.1001e+08;-0.00726479;0
2.2001e+08;-0.00795303;0
2.3001e+08;-0.0086697;0
2.4001e+08;-0.00941436;0
2.5001e+08;-0.0101866;0
2.6001e+08;-0.010986;0
2.7001e+08;-0.011812;0
2.8001e+08;-0.0126644;0
2.9001e+08;-0.0135425;0
3.0001e+08;-0.0144461;0
3.1001e+08;-0.0153747;0
3.2001e+08;-0.0163279;0
3.3001e+08;-0.0173053;0
3.4001e+08;-0.0183065;0
3.5001e+08;-0.0193311;0
3.6001e+08;-0.0203789;0
3.7001e+08;-0.0214494;0
3.8001e+08;-0.0225424;0
3.9001e+08;-0.0236577;0
4.0001e+08;-0.0247949;0
4.1001e+08;-0.0259538;0
4.2001e+08;-0.0271344;0
4.3001e+08;-0.0283363;0
4.4001e+08;-0.0295597;0
4.5001e+08;-0.0308043;0
4.6001e+08;-0.0320701;0
4.7001e+08;-0.0333573;0
4.8001e+08;-0.0346659;0
4.9001e+08;-0.0359961;0
5.0001e+08;-0.037348;0
5.1001e+08;-0.0387219;0
5.2001e+08;-0.0401181;0
5.3001e+08;-0.041537;0
5.4001e+08;-0.0429792;0
5.5001e+08;-0.044445;0
5.6001e+08;-0.0459351;0
5.7001e+08;-0.0474502;0
5.8001e+08;-0.0489911;0
5.9001e+08;-0.0505585;0
6.0001e+08;-0.0521534;0
6.1001e+08;-0.0537767;0
6.2001e+08;-0.0554297;0
6.3001e+08;-0.0571133;0
6.4001e+08;-0.058829;0
6.5001e+08;-0.0605781;0
6.6001e+08;-0.062362;0
6.7001e+08;-0.0641824;0
6.8001e+08;-0.0660407;0
6.9001e+08;-0.0679388;0
7.0001e+08;-0.0698786;0
7.1001e+08;-0.071862;0
7.2001e+08;-0.073891;0
7.3001e+08;-0.0759679;0
7.4001e+08;-0.0780947;0
7.5001e+08;-0.0802741;0
7.6001e+08;-0.0825083;0
7.7001e+08;-0.0848;0
7.8001e+08;-0.0871518;0
7.9001e+08;-0.0895665;0
8.0001e+08;-0.0920471;0
8.1001e+08;-0.0945964;0
8.2001e+08;-0.0972174;0
8.3001e+08;-0.0999138;0
8.4001e+08;-0.102688;0
8.5001e+08;-0.105545;0
8.6001e+08;-0.108486;0
8.7001e+08;-0.111516;0
8.8001e+08;-0.114639;0
8.9001e+08;-0.117858;0
9.0001e+08;-0.121176;0
9.1001e+08;-0.124599;0
9.2001e+08;-0.128129;0
9.3001e+08;-0.131772;0
9.4001e+08;-0.135531;0
9.5001e+08;-0.13941;0
9.6001e+08;-0.143413;0
9.7001e+08;-0.147546;0
9.8001e+08;-0.151812;0
9.9001e+08;-0.156216;0
1.00001e+09;-0.160763;0
1.01001e+09;-0.165456;0
1.02001e+09;-0.170302;0
1.03001e+09;-0.175303;0
1.04001e+09;-0.180466;0
1.05001e+09;-0.185794;0
1.06001e+09;-0.191295;0
1.07001e+09;-0.19697;0
1.08001e+09;-0.202826;0
1.09001e+09;-0.208867;0
1.10001e+09;-0.215097;0
1.11001e+09;-0.221526;0
1.12001e+09;-0.228153;0
1.13001e+09;-0.234986;0
1.14001e+09;-0.242029;0
1.15001e+09;-0.249288;0
1.16001e+09;-0.256767;0
1.17001e+09;-0.264471;0
1.18001e+09;-0.272407;0
1.19001e+09;-0.280578;0
1.20001e+09;-0.288987;0
1.21001e+09;-0.297649;0
1.22001e+09;-0.306559;0
1.23001e+09;-0.315726;0
1.24001e+09;-0.325154;0
1.25001e+09;-0.33485;0
1.26001e+09;-0.344818;0
1.27001e+09;-0.355064;0
1.28001e+09;-0.365593;0
1.29001e+09;-0.37641;0
1.30001e+09;-0.387522;0
1.31001e+09;-0.398934;0
1.32001e+09;-0.41065;0
1.33001e+09;-0.422678;0
1.34001e+09;-0.435023;0
1.35001e+09;-0.44769;0
1.36001e+09;-0.460686;0
1.37001e+09;-0.474017;0
1.38001e+09;-0.487689;0
1.39001e+09;-0.501708;0
1.40001e+09;-0.516066;0
1.41001e+09;-0.530816;0
1.42001e+09;-0.545917;0
1.43001e+09;-0.561377;0
1.44001e+09;-0.577253;0
1.45001e+09;-0.593501;0
1.46001e+09;-0.610147;0
1.47001e+09;-0.627198;0
1.48001e+09;-0.644663;0
1.49001e+09;-0.662551;0
1.50001e+09;-0.680871;0
1.51001e+09;-0.699633;0
1.52001e+09;-0.718845;0
1.53001e+09;-0.738519;0
1.54001e+09;-0.758665;0
1.55001e+09;-0.779295;0
1.56001e+09;-0.80042;0
1.57001e+09;-0.822052;0
1.58001e+09;-0.844205;0
1.59001e+09;-0.866892;0
1.60001e+09;-0.890127;0
1.61001e+09;-0.913926;0
1.62001e+09;-0.938276;0
1.63001e+09;-0.963276;0
1.64001e+09;-0.988861;0
1.65001e+09;-1.01508;0
1.66001e+09;-1.04195;0
1.67001e+09;-1.06948;0
1.68001e+09;-1.09771;0
1.69001e+09;-1.12666;0
1.70001e+09;-1.15634;0
1.71001e+09;-1.18678;0
1.72001e+09;-1.21802;0
1.73001e+09;-1.25007;0
1.74001e+09;-1.28297;0
1.75001e+09;-1.31675;0
1.76001e+09;-1.35144;0
1.77001e+09;-1.38708;0
1.78001e+09;-1.4237;0
1.79001e+09;-1.46134;0
1.80001e+09;-1.50005;0
1.81001e+09;-1.53986;0
1.82001e+09;-1.58082;0
1.83001e+09;-1.62299;0
1.84001e+09;-1.66641;0
1.85001e+09;-1.71113;0
1.86001e+09;-1.75718;0
1.87001e+09;-1.80475;0
1.88001e+09;-1.85376;0
1.89001e+09;-1.90434;0
1.90001e+09;-1.95656;0
1.91001e+09;-2.01044;0
1.92001e+09;-2.06622;0
1.93001e+09;-2.12384;0
1.94001e+09;-2.18344;0
1.95001e+09;-2.24512;0
1.96001e+09;-2.30899;0
1.97001e+09;-2.3751;0
1.98001e+09;-2.44376;0
1.99001e+09;-2.51491;0
2.00001e+09;-2.58876;0
2.01001e+09;-2.66538;0
2.02001e+09;-2.74514;0
2.03001e+09;-2.828;0
2.04001e+09;-2.91414;0
2.05001e+09;-3.00397;0
2.06001e+09;-3.09749;0
2.07001e+09;-3.19499;0
2.08001e+09;-3.29671;0
2.09001e+09;-3.40291;0
2.10001e+09;-3.51387;0
2.11001e+09;-3.6299;0
2.12001e+09;-3.75132;0
2.13001e+09;-3.87849;0
2.14001e+09;-4.01178;0
