"frequency";"r ngspice/ac.s_1_1_db";"i ngspice/ac.s_1_1_db"
1.98001e+09;-16.0948;0
1.99001e+09;-16.2665;0
2.00001e+09;-16.441;0
2.01001e+09;-16.6161;0
2.02001e+09;-16.7998;0
2.03001e+09;-16.9849;0
2.04001e+09;-17.1716;0
2.05001e+09;-17.3685;0
2.06001e+09;-17.568;0
2.07001e+09;-17.7734;0
2.08001e+09;-17.9851;0
2.09001e+09;-18.2038;0
2.10001e+09;-18.4301;0
2.11001e+09;-18.6645;0
2.12001e+09;-18.9078;0
2.13001e+09;-19.1604;0
2.14001e+09;-19.4229;0
2.15001e+09;-19.6959;0
2.16001e+09;-19.9797;0
2.17001e+09;-20.2745;0
2.18001e+09;-20.5802;0
2.19001e+09;-20.8919;0
2.20001e+09;-21.2222;0
2.21001e+09;-21.5509;0
2.22001e+09;-21.8944;0
2.23001e+09;-22.2339;0
2.24001e+09;-22.5684;0
2.25001e+09;-22.89;0
2.26001e+09;-23.1881;0
2.27001e+09;-23.4498;0
2.28001e+09;-23.6596;0
2.29001e+09;-23.8013;0
2.30001e+09;-23.8591;0
2.31001e+09;-23.8208;0
2.32001e+09;-23.6796;0
2.33001e+09;-23.4359;0
2.34001e+09;-23.0973;0
2.35001e+09;-22.677;0
2.36001e+09;-22.1906;0
2.37001e+09;-21.6566;0
2.38001e+09;-21.0894;0
2.39001e+09;-20.5018;0
2.40001e+09;-19.9058;0
2.41001e+09;-19.3105;0
2.42001e+09;-18.7186;0
2.43001e+09;-18.138;0
2.44001e+09;-17.5723;0
2.45001e+09;-17.0206;0
2.46001e+09;-16.484;0
2.47001e+09;-15.9666;0
2.48001e+09;-15.4671;0
2.49001e+09;-14.9856;0
2.50001e+09;-14.5222;0
2.51001e+09;-14.0767;0
2.52001e+09;-13.6486;0
2.53001e+09;-13.2376;0
2.54001e+09;-12.8448;0
2.55001e+09;-12.4668;0
2.56001e+09;-12.1047;0
2.57001e+09;-11.7567;0
2.58001e+09;-11.4249;0
2.59001e+09;-11.1075;0
2.60001e+09;-10.8041;0
2.61001e+09;-10.5154;0
2.62001e+09;-10.2373;0
