"frequency";"r ngspice/ac.s_2_2_db";"i ngspice/ac.s_2_2_db"
1.87091e+09;-0.0715646;0
1.88091e+09;-0.073683;0
1.89091e+09;-0.0759067;0
1.90091e+09;-0.0782426;0
1.9109e+09;-0.0806984;0
1.9209e+09;-0.0832823;0
1.9309e+09;-0.0860036;0
1.9409e+09;-0.088872;0
1.9509e+09;-0.0918981;0
1.9609e+09;-0.0950938;0
1.9709e+09;-0.0984718;0
1.9809e+09;-0.102046;0
1.9909e+09;-0.105832;0
2.0009e+09;-0.109847;0
2.0109e+09;-0.114109;0
2.0209e+09;-0.118638;0
2.0309e+09;-0.123458;0
2.0409e+09;-0.128593;0
2.0509e+09;-0.13407;0
2.0609e+09;-0.139921;0
2.0709e+09;-0.146179;0
2.0809e+09;-0.152883;0
2.0909e+09;-0.160075;0
2.1009e+09;-0.167801;0
2.11089e+09;-0.176115;0
2.12089e+09;-0.185076;0
2.13089e+09;-0.194751;0
2.14089e+09;-0.205215;0
2.15089e+09;-0.216553;0
2.16089e+09;-0.22886;0
2.17089e+09;-0.242245;0
2.18089e+09;-0.256831;0
2.19089e+09;-0.272757;0
2.20089e+09;-0.290182;0
2.21089e+09;-0.309286;0
2.22089e+09;-0.330277;0
2.23089e+09;-0.353386;0
2.24089e+09;-0.378882;0
2.25089e+09;-0.407067;0
2.26089e+09;-0.438284;0
2.27089e+09;-0.472922;0
2.28089e+09;-0.511412;0
2.29089e+09;-0.554237;0
2.30089e+09;-0.601918;0
2.31088e+09;-0.655021;0
2.32088e+09;-0.714119;0
2.33088e+09;-0.779772;0
2.34088e+09;-0.852478;0
2.35088e+09;-0.932569;0
2.36088e+09;-1.02011;0
2.37088e+09;-1.11473;0
2.38088e+09;-1.21536;0
2.39088e+09;-1.32005;0
2.40088e+09;-1.42567;0
2.41088e+09;-1.52776;0
2.42088e+09;-1.62061;0
2.43088e+09;-1.69767;0
2.44088e+09;-1.7524;0
2.45088e+09;-1.7794;0
2.46088e+09;-1.77568;0
2.47088e+09;-1.74133;0
2.48088e+09;-1.67956;0
2.49088e+09;-1.59592;0
2.50088e+09;-1.49714;0
2.51087e+09;-1.38987;0
2.52087e+09;-1.2799;0
2.53087e+09;-1.17167;0
2.54087e+09;-1.0683;0
2.55087e+09;-0.971669;0
2.56087e+09;-0.88274;0
2.57087e+09;-0.801802;0
2.58087e+09;-0.728696;0
2.59087e+09;-0.663001;0
2.60087e+09;-0.604148;0
2.61087e+09;-0.551514;0
2.62087e+09;-0.504468;0
2.63087e+09;-0.462406;0
2.64087e+09;-0.424768;0
2.65087e+09;-0.391045;0
2.66087e+09;-0.360783;0
2.67087e+09;-0.333575;0
2.68087e+09;-0.309066;0
2.69087e+09;-0.286942;0
2.70087e+09;-0.266928;0
2.71086e+09;-0.248784;0
2.72086e+09;-0.232302;0
2.73086e+09;-0.217296;0
2.74086e+09;-0.203605;0
2.75086e+09;-0.19109;0
2.76086e+09;-0.179626;0
2.77086e+09;-0.169104;0
2.78086e+09;-0.159428;0
2.79086e+09;-0.150515;0
2.80086e+09;-0.142289;0
2.81086e+09;-0.134685;0
2.82086e+09;-0.127644;0
2.83086e+09;-0.121113;0
2.84086e+09;-0.115047;0
2.85086e+09;-0.109403;0
2.86086e+09;-0.104145;0
2.87086e+09;-0.0992392;0
2.88086e+09;-0.0946559;0
2.89086e+09;-0.090369;0
2.90086e+09;-0.0863535;0
2.91085e+09;-0.0825878;0
2.92085e+09;-0.0790523;0
2.93085e+09;-0.075729;0
2.94085e+09;-0.0726016;0
2.95085e+09;-0.0696558;0
2.96085e+09;-0.066878;0
2.97085e+09;-0.064256;0
2.98085e+09;-0.0617787;0
2.99085e+09;-0.0594359;0
3.00085e+09;-0.0572182;0
3.01085e+09;-0.0551169;0
3.02085e+09;-0.0531247;0
3.03085e+09;-0.0512341;0
3.04085e+09;-0.0494384;0
3.05085e+09;-0.0477317;0
3.06085e+09;-0.0461081;0
3.07085e+09;-0.0445627;0
3.08085e+09;-0.0430903;0
3.09085e+09;-0.0416868;0
3.10085e+09;-0.0403481;0
