"frequency";"r ngspice/ac.s_1_2_db";"i ngspice/ac.s_1_2_db"
2.00001e+09;-23.3288;0
2.01001e+09;-23.2073;0
2.02001e+09;-23.0822;0
2.03001e+09;-22.9536;0
2.04001e+09;-22.8215;0
2.05001e+09;-22.6858;0
2.06001e+09;-22.5466;0
2.07001e+09;-22.4039;0
2.08001e+09;-22.2578;0
2.09001e+09;-22.1083;0
2.10001e+09;-21.9555;0
2.11001e+09;-21.7996;0
2.12001e+09;-21.6405;0
2.13001e+09;-21.4783;0
2.14001e+09;-21.3133;0
2.15001e+09;-21.1456;0
2.16001e+09;-20.9752;0
2.17001e+09;-20.8024;0
2.18001e+09;-20.6273;0
2.19001e+09;-20.4501;0
2.20001e+09;-20.2708;0
2.21001e+09;-20.0899;0
2.22001e+09;-19.9074;0
2.23001e+09;-19.7235;0
2.24001e+09;-19.5386;0
2.25001e+09;-19.3527;0
2.26001e+09;-19.1661;0
2.27001e+09;-18.9791;0
2.28001e+09;-18.7919;0
2.29001e+09;-18.6048;0
2.30001e+09;-18.418;0
2.31001e+09;-18.2317;0
2.32001e+09;-18.0463;0
2.33001e+09;-17.862;0
2.34001e+09;-17.679;0
2.35001e+09;-17.4977;0
2.36001e+09;-17.3184;0
2.37001e+09;-17.1413;0
2.38001e+09;-16.9666;0
2.39001e+09;-16.7948;0
2.40001e+09;-16.6259;0
2.41001e+09;-16.4604;0
2.42001e+09;-16.2986;0
2.43001e+09;-16.1405;0
2.44001e+09;-15.9866;0
2.45001e+09;-15.837;0
2.46001e+09;-15.6921;0
2.47001e+09;-15.5519;0
2.48001e+09;-15.4168;0
2.49001e+09;-15.2869;0
2.50001e+09;-15.1624;0
2.51001e+09;-15.0434;0
2.52001e+09;-14.9301;0
2.53001e+09;-14.8226;0
2.54001e+09;-14.7209;0
2.55001e+09;-14.6253;0
2.56001e+09;-14.5356;0
2.57001e+09;-14.4521;0
2.58001e+09;-14.3744;0
2.59001e+09;-14.3028;0
2.60001e+09;-14.2371;0
2.61001e+09;-14.1772;0
2.62001e+09;-14.1232;0
2.63001e+09;-14.0749;0
2.64001e+09;-14.0321;0
2.65001e+09;-13.9946;0
2.66001e+09;-13.9623;0
2.67001e+09;-13.9354;0
2.68001e+09;-13.9132;0
2.69001e+09;-13.8956;0
2.70001e+09;-13.8827;0
2.71001e+09;-13.8743;0
2.72001e+09;-13.8698;0
2.73001e+09;-13.8692;0
2.74001e+09;-13.8724;0
2.75001e+09;-13.8791;0
2.76001e+09;-13.8892;0
2.77001e+09;-13.9023;0
2.78001e+09;-13.9184;0
2.79001e+09;-13.9372;0
2.80001e+09;-13.9586;0
2.81001e+09;-13.9824;0
2.82001e+09;-14.0084;0
2.83001e+09;-14.0364;0
2.84001e+09;-14.0664;0
2.85001e+09;-14.0981;0
2.86001e+09;-14.1314;0
2.87001e+09;-14.1662;0
2.88001e+09;-14.2024;0
2.89001e+09;-14.2398;0
2.90001e+09;-14.2783;0
2.91001e+09;-14.3174;0
2.92001e+09;-14.3582;0
2.93001e+09;-14.3994;0
2.94001e+09;-14.4414;0
2.95001e+09;-14.484;0
